name,title,parent,position
CMDT,CMDT,null,
PLO1,PLO1,CMDT,left
PLO2,PLO2,CMDT,left
PLO3,PLO3,CMDT,left
PLO4,PLO4,CMDT,left
PLO5,PLO5,CMDT,left
PLO6,PLO6,CMDT,left
PLO7,PLO7,CMDT,left
PLO8,PLO8,CMDT,left
PLO9,PLO9,CMDT,right
PLO10,PLO10,CMDT,right
PLO11,PLO11,CMDT,right
PLO12,PLO12,CMDT,right
modules_PLO1,Modules,PLO1,
modules_PLO10,Modules,PLO10,
modules_PLO11,Modules,PLO11,
modules_PLO12,Modules,PLO12,
modules_PLO2,Modules,PLO2,
modules_PLO3,Modules,PLO3,
modules_PLO4,Modules,PLO4,
modules_PLO5,Modules,PLO5,
modules_PLO6,Modules,PLO6,
modules_PLO7,Modules,PLO7,
modules_PLO8,Modules,PLO8,
modules_PLO9,Modules,PLO9,
courses_PLO1,Courses,PLO1,
courses_PLO10,Courses,PLO10,
courses_PLO11,Courses,PLO11,
courses_PLO12,Courses,PLO12,
courses_PLO2,Courses,PLO2,
courses_PLO3,Courses,PLO3,
courses_PLO4,Courses,PLO4,
courses_PLO5,Courses,PLO5,
courses_PLO6,Courses,PLO6,
courses_PLO7,Courses,PLO7,
courses_PLO8,Courses,PLO8,
courses_PLO9,Courses,PLO9,
142-129,Organic Thinking,courses_PLO1,
142-234,Life is Beautiful,courses_PLO1,
142-141,Digital Drawing,courses_PLO10,
142-142,Basic Programming,courses_PLO10,
142-143,Principle of Art and Design,courses_PLO10,
142-144,Principles of Layout and Idea Generation,courses_PLO10,
142-145,Script Writing and Storyboarding,courses_PLO10,
142-150,Objected Oriented Programming,courses_PLO10,
142-154,Database System,courses_PLO10,
142-241,Principles of Web Technology,courses_PLO10,
142-242,Digital Photography,courses_PLO10,
142-247,Fundamental of 3D Modeling,courses_PLO10,
142-251,Fundamental 3D Animation,courses_PLO10,
142-252,Game Design,courses_PLO10,
142-253,Motion Graphic Design,courses_PLO10,
142-255,Responsive Web Design,courses_PLO10,
142-256,Digital 2D Animation,courses_PLO10,
142-258,Cross-Platform Mobile Application Development,courses_PLO10,
142-259,User Experience and User Interface,courses_PLO10,
142-350,Seminar in Digital Media I,courses_PLO10,
142-357,Backend Web Programming,courses_PLO10,
142-358,Seminar in Digital Media II,courses_PLO10,
142-359,Shading Lighting and Rendering,courses_PLO10,
142-360,Game Script Writing,courses_PLO10,
142-363,Anatomy for Animation,courses_PLO10,
142-364,3D Shaping and Sculpting,courses_PLO10,
142-365,Graphic Programming,courses_PLO10,
142-366,Digital Software and Application,courses_PLO10,
142-367,Design Thinking,courses_PLO10,
142-368,Digital Design Services,courses_PLO10,
142-369,Creative Media for Presentation of Scientific Discovery,courses_PLO10,
142-370,Digital Innovative for New Media Creation,courses_PLO10,
142-371,Digital Data Management and Data Analytics,courses_PLO10,
142-372,Business Intelligence,courses_PLO10,
142-375,Digital Matte Painting,courses_PLO10,
142-377,Cinematography,courses_PLO10,
142-378,Game Programming,courses_PLO10,
142-380,Frontend Web Application Development,courses_PLO10,
142-384,Content Mangement System,courses_PLO10,
142-387,Advanced Game Programming,courses_PLO10,
142-388,Special Topic I,courses_PLO10,
142-389,New Media Techology,courses_PLO10,
142-390,Artificial Intelligence,courses_PLO10,
142-391,Special Topic II,courses_PLO10,
142-392,Infographic,courses_PLO10,
142-393,Identity Design (Branding),courses_PLO10,
142-394,Package Design,courses_PLO10,
142-395,Special Topic III,courses_PLO10,
142-396,Client/Server Application & Web Technology,courses_PLO10,
142-397,Typography,courses_PLO10,
142-398,Internet of Thing & Embedded Devices,courses_PLO10,
142-257,Research Methodology,courses_PLO11,
142-259,User Experience and User Interface,courses_PLO11,
142-351,Project Management,courses_PLO11,
142-355,Project in Digital Media and Animation I,courses_PLO11,
142-361,Entrepreneurship,courses_PLO11,
142-367,Design Thinking,courses_PLO11,
142-368,Digital Design Services,courses_PLO11,
142-369,Creative Media for Presentation of Scientific Discovery,courses_PLO11,
142-370,Digital Innovative for New Media Creation,courses_PLO11,
142-371,Digital Data Management and Data Analytics,courses_PLO11,
142-372,Business Intelligence,courses_PLO11,
142-373,Digital Research for Creative Media,courses_PLO11,
142-374,Digital Technology for Creative Media,courses_PLO11,
142-401,Cooperative Education in Digital Media,courses_PLO11,
142-455,Project in Digital Media and Animation II,courses_PLO11,
142-456,Display Design (Exhibition) & Curratorship,courses_PLO11,
142-141,Digital Drawing,courses_PLO12,
142-142,Basic Programming,courses_PLO12,
142-143,Principle of Art and Design,courses_PLO12,
142-144,Principles of Layout and Idea Generation,courses_PLO12,
142-145,Script Writing and Storyboarding,courses_PLO12,
142-150,Objected Oriented Programming,courses_PLO12,
142-154,Database System,courses_PLO12,
142-241,Principles of Web Technology,courses_PLO12,
142-242,Digital Photography,courses_PLO12,
142-247,Fundamental of 3D Modeling,courses_PLO12,
142-251,Fundamental 3D Animation,courses_PLO12,
142-252,Game Design,courses_PLO12,
142-253,Motion Graphic Design,courses_PLO12,
142-255,Responsive Web Design,courses_PLO12,
142-256,Digital 2D Animation,courses_PLO12,
142-257,Research Methodology,courses_PLO12,
142-258,Cross-Platform Mobile Application Development,courses_PLO12,
142-259,User Experience and User Interface,courses_PLO12,
142-350,Seminar in Digital Media I,courses_PLO12,
142-351,Project Management,courses_PLO12,
142-355,Project in Digital Media and Animation I,courses_PLO12,
142-357,Backend Web Programming,courses_PLO12,
142-358,Seminar in Digital Media II,courses_PLO12,
142-359,Shading Lighting and Rendering,courses_PLO12,
142-360,Game Script Writing,courses_PLO12,
142-361,Entrepreneurship,courses_PLO12,
142-362,Socialization and Etiquette,courses_PLO12,
142-363,Anatomy for Animation,courses_PLO12,
142-364,3D Shaping and Sculpting,courses_PLO12,
142-365,Graphic Programming,courses_PLO12,
142-366,Digital Software and Application,courses_PLO12,
142-368,Digital Design Services,courses_PLO12,
142-369,Creative Media for Presentation of Scientific Discovery,courses_PLO12,
142-370,Digital Innovative for New Media Creation,courses_PLO12,
142-371,Digital Data Management and Data Analytics,courses_PLO12,
142-372,Business Intelligence,courses_PLO12,
142-375,Digital Matte Painting,courses_PLO12,
142-377,Cinematography,courses_PLO12,
142-378,Game Programming,courses_PLO12,
142-380,Frontend Web Application Development,courses_PLO12,
142-384,Content Mangement System,courses_PLO12,
142-387,Advanced Game Programming,courses_PLO12,
142-388,Special Topic I,courses_PLO12,
142-389,New Media Techology,courses_PLO12,
142-390,Artificial Intelligence,courses_PLO12,
142-391,Special Topic II,courses_PLO12,
142-392,Infographic,courses_PLO12,
142-393,Identity Design (Branding),courses_PLO12,
142-394,Package Design,courses_PLO12,
142-395,Special Topic III,courses_PLO12,
142-396,Client/Server Application & Web Technology,courses_PLO12,
142-397,Typography,courses_PLO12,
142-398,Internet of Thing & Embedded Devices,courses_PLO12,
142-401,Cooperative Education in Digital Media,courses_PLO12,
142-455,Project in Digital Media and Animation II,courses_PLO12,
142-456,Display Design (Exhibition) & Curratorship,courses_PLO12,
142-121,The Future Earth,courses_PLO2,
142-124,Creative Problem Solving,courses_PLO2,
142-129,Organic Thinking,courses_PLO2,
142-234,Life is Beautiful,courses_PLO2,
142-129,Organic Thinking,courses_PLO3,
